id,Município,IFDM 2021
110001,Alta Floresta D'Oeste,0.5411
110002,Ariquemes,0.6312
110003,Cabixi,0.5549
110004,Cacoal,0.7067
110005,Cerejeiras,0.6023
110006,Colorado do Oeste,0.6582
110007,Corumbiara,0.5918
110008,Costa Marques,0.3975
110009,Espigão D'Oeste,0.6032
110010,Guajará-Mirim,0.3603
110011,Jaru,0.6242
110012,Ji-Paraná,0.6606
110013,Machadinho D'Oeste,0.5003
110014,Nova Brasilândia D'Oeste,0.5498
110015,Ouro Preto do Oeste,0.6015
110018,Pimenta Bueno,0.6536
110020,Porto Velho,0.6144
110025,Presidente Médici,0.5675
110026,Rio Crespo,0.5838
110028,Rolim de Moura,0.6567
110029,Santa Luzia D'Oeste,0.5502
110030,Vilhena,0.6771
110032,São Miguel do Guaporé,0.5569
110033,Nova Mamoré,0.3752
110034,Alvorada D'Oeste,0.5238
110037,Alto Alegre dos Parecis,0.4833
110040,Alto Paraíso,0.5203
110045,Buritis,0.5397
110050,Novo Horizonte do Oeste,0.5326
110060,Cacaulândia,0.5456
110070,Campo Novo de Rondônia,0.4546
110080,Candeias do Jamari,0.4262
110090,Castanheiras,0.4782
110092,Chupinguaia,0.6535
110094,Cujubim,0.4693
110100,Governador Jorge Teixeira,0.4792
110110,Itapuã do Oeste,0.5127
110120,Ministro Andreazza,0.5953
110130,Mirante da Serra,0.4827
110140,Monte Negro,0.5089
110143,Nova União,0.417
110145,Parecis,0.5356
110146,Pimenteiras do Oeste,0.5974
110147,Primavera de Rondônia,0.5641
110148,São Felipe D'Oeste,0.5562
110149,São Francisco do Guaporé,0.561
110150,Seringueiras,0.546
110155,Teixeirópolis,0.5671
110160,Theobroma,0.5363
110170,Urupá,0.5163
110175,Vale do Anari,0.4125
110180,Vale do Paraíso,0.5097
120001,Acrelândia,0.4501
120005,Assis Brasil,0.2795
120010,Brasiléia,0.4546
120013,Bujari,0.402
120017,Capixaba,0.3304
120020,Cruzeiro do Sul,0.4557
120025,Epitaciolândia,0.3678
120030,Feijó,0.2754
120032,Jordão,0.2779
120033,Mâncio Lima,0.3485
120034,Manoel Urbano,0.2805
120035,Marechal Thaumaturgo,0.2406
120038,Plácido de Castro,0.3734
120039,Porto Walter,0.3318
120040,Rio Branco,0.6159
120042,Rodrigues Alves,0.2874
120043,Santa Rosa do Purus,0.1768
120045,Senador Guiomard,0.4196
120050,Sena Madureira,0.2757
120060,Tarauacá,0.2597
120070,Xapuri,0.3322
120080,Porto Acre,0.3257
130002,Alvarães,0.2692
130006,Amaturá,0.302
130008,Anamã,0.2548
130010,Anori,0.3073
130014,Apuí,0.4121
130020,Atalaia do Norte,0.2262
130030,Autazes,0.2283
130040,Barcelos,0.2397
130050,Barreirinha,0.268
130060,Benjamin Constant,0.3141
130063,Beruri,0.2204
130068,Boa Vista do Ramos,0.2784
130070,Boca do Acre,0.3119
130080,Borba,0.2777
130083,Caapiranga,0.2977
130090,Canutama,0.2312
130100,Carauari,0.3451
130110,Careiro,0.3086
130115,Careiro da Várzea,0.3379
130120,Coari,0.3337
130130,Codajás,0.274
130140,Eirunepé,0.3001
130150,Envira,0.2757
130160,Fonte Boa,0.2891
130165,Guajará,0.2888
130170,Humaitá,0.4422
130180,Ipixuna,0.1544
130185,Iranduba,0.3243
130190,Itacoatiara,0.4053
130195,Itamarati,0.3556
130200,Itapiranga,0.3868
130210,Japurá,0.3714
130220,Juruá,0.2761
130230,Jutaí,0.1982
130240,Lábrea,0.3208
130250,Manacapuru,0.3517
130255,Manaquiri,0.2621
130260,Manaus,0.6143
130270,Manicoré,0.3276
130280,Maraã,0.206
130290,Maués,0.254
130300,Nhamundá,0.3401
130310,Nova Olinda do Norte,0.277
130320,Novo Airão,0.3561
130330,Novo Aripuanã,0.2988
130340,Parintins,0.3827
130350,Pauini,0.2134
130353,Presidente Figueiredo,0.5108
130356,Rio Preto da Eva,0.3908
130360,Santa Isabel do Rio Negro,0.2657
130370,Santo Antônio do Içá,0.3027
130380,São Gabriel da Cachoeira,0.2273
130390,São Paulo de Olivença,0.2216
130395,São Sebastião do Uatumã,0.3322
130400,Silves,0.3253
130406,Tabatinga,0.3801
130410,Tapauá,0.3009
130420,Tefé,0.371
130423,Tonantins,0.2555
130426,Uarini,0.1705
130430,Urucará,0.3795
130440,Urucurituba,0.3339
140002,Amajari,0.2732
140005,Alto Alegre,0.2632
140010,Boa Vista,0.5716
140015,Bonfim,0.2996
140017,Cantá,0.3303
140020,Caracaraí,0.3146
140023,Caroebe,0.3792
140028,Iracema,0.2815
140030,Mucajaí,0.3656
140040,Normandia,0.3084
140045,Pacaraima,0.341
140047,Rorainópolis,0.4164
140050,São João da Baliza,0.4663
140060,São Luiz,0.4375
140070,Uiramutã,0.1767
150010,Abaetetuba,0.3853
150013,Abel Figueiredo,0.4379
150020,Acará,0.3662
150030,Afuá,0.2444
150034,Água Azul do Norte,0.4604
150040,Alenquer,0.1934
150050,Almeirim,0.3272
150060,Altamira,0.4739
150070,Anajás,0.2157
150080,Ananindeua,0.4957
150085,Anapu,0.2959
150090,Augusto Corrêa,0.2686
150095,Aurora do Pará,0.3373
150100,Aveiro,0.278
150110,Bagre,0.2198
150120,Baião,0.2827
150125,Bannach,0.4655
150130,Barcarena,0.5267
150140,Belém,0.5653
150145,Belterra,0.3313
150150,Benevides,0.5238
150157,Bom Jesus do Tocantins,0.3085
150160,Bonito,0.444
150170,Bragança,0.3776
150172,Brasil Novo,0.366
150175,Brejo Grande do Araguaia,0.3683
150178,Breu Branco,0.3574
150180,Breves,0.3341
150190,Bujaru,0.3081
150195,Cachoeira do Piriá,0.291
150200,Cachoeira do Arari,0.2578
150210,Cametá,0.2858
150215,Canaã dos Carajás,0.6116
150220,Capanema,0.4528
150230,Capitão Poço,0.3155
150240,Castanhal,0.5015
150250,Chaves,0.2358
150260,Colares,0.3456
150270,Conceição do Araguaia,0.433
150275,Concórdia do Pará,0.4193
150276,Cumaru do Norte,0.3639
150277,Curionópolis,0.4122
150280,Curralinho,0.2208
150285,Curuá,0.2372
150290,Curuçá,0.319
150293,Dom Eliseu,0.4626
150295,Eldorado do Carajás,0.3186
150300,Faro,0.3403
150304,Floresta do Araguaia,0.3926
150307,Garrafão do Norte,0.3389
150309,Goianésia do Pará,0.3765
150310,Gurupá,0.2245
150320,Igarapé-Açu,0.4004
150330,Igarapé-Miri,0.2841
150340,Inhangapi,0.423
150345,Ipixuna do Pará,0.3696
150350,Irituia,0.3232
150360,Itaituba,0.4127
150370,Itupiranga,0.3194
150375,Jacareacanga,0.2409
150380,Jacundá,0.3917
150390,Juruti,0.4377
150400,Limoeiro do Ajuru,0.2308
150405,Mãe do Rio,0.3725
150410,Magalhães Barata,0.3748
150420,Marabá,0.5433
150430,Maracanã,0.2994
150440,Marapanim,0.3614
150442,Marituba,0.4639
150445,Medicilândia,0.3464
150450,Melgaço,0.2033
150460,Mocajuba,0.2794
150470,Moju,0.3662
150475,Mojuí dos Campos,0.4013
150480,Monte Alegre,0.3277
150490,Muaná,0.2349
150495,Nova Esperança do Piriá,0.3124
150497,Nova Ipixuna,0.3546
150500,Nova Timboteua,0.3745
150503,Novo Progresso,0.5198
150506,Novo Repartimento,0.3307
150510,Óbidos,0.2961
150520,Oeiras do Pará,0.2113
150530,Oriximiná,0.413
150540,Ourém,0.3721
150543,Ourilândia do Norte,0.3902
150548,Pacajá,0.3212
150549,Palestina do Pará,0.3208
150550,Paragominas,0.5102
150553,Parauapebas,0.6058
150555,Pau D'Arco,0.4237
150560,Peixe-Boi,0.4249
150563,Piçarra,0.3826
150565,Placas,0.3124
150570,Ponta de Pedras,0.275
150580,Portel,0.2408
150590,Porto de Moz,0.2224
150600,Prainha,0.2587
150610,Primavera,0.4455
150611,Quatipuru,0.305
150613,Redenção,0.4912
150616,Rio Maria,0.5504
150618,Rondon do Pará,0.3691
150619,Rurópolis,0.3964
150620,Salinópolis,0.4499
150630,Salvaterra,0.2694
150635,Santa Bárbara do Pará,0.4485
150640,Santa Cruz do Arari,0.2575
150650,Santa Izabel do Pará,0.4357
150655,Santa Luzia do Pará,0.3292
150658,Santa Maria das Barreiras,0.374
150660,Santa Maria do Pará,0.3549
150670,Santana do Araguaia,0.4348
150680,Santarém,0.4717
150690,Santarém Novo,0.3407
150700,Santo Antônio do Tauá,0.2644
150710,São Caetano de Odivelas,0.3559
150715,São Domingos do Araguaia,0.3614
150720,São Domingos do Capim,0.2792
150730,São Félix do Xingu,0.3653
150740,São Francisco do Pará,0.3621
150745,São Geraldo do Araguaia,0.4486
150746,São João da Ponta,0.3789
150747,São João de Pirabas,0.3336
150750,São João do Araguaia,0.3329
150760,São Miguel do Guamá,0.3672
150770,São Sebastião da Boa Vista,0.2604
150775,Sapucaia,0.5798
150780,Senador José Porfírio,0.2584
150790,Soure,0.2661
150795,Tailândia,0.4538
150796,Terra Alta,0.3127
