Município,Rendimento nominal médio mensal,Rendimento nominal mediano mensal
Alta Floresta D'Oeste (RO),2154.81,1500
Ariquemes (RO),2569.41,1800
Cabixi (RO),2281.93,1700
Cacoal (RO),2781.78,1800
Cerejeiras (RO),2741.65,1800
Colorado do Oeste (RO),2753.72,1926
Corumbiara (RO),2202.29,1800
Costa Marques (RO),2001.88,1212
Espigão D'Oeste (RO),2389.36,1600
Guajará-Mirim (RO),2261.61,1300
Jaru (RO),2550.38,1760
Ji-Paraná (RO),2550.73,1750
Machadinho D'Oeste (RO),1977.88,1500
Nova Brasilândia D'Oeste (RO),2136.31,1500
Ouro Preto do Oeste (RO),2469.95,1600
Pimenta Bueno (RO),2383.57,1700
Porto Velho (RO),2842.89,1700
Presidente Médici (RO),2293.82,1500
Rio Crespo (RO),2243.23,1600
Rolim de Moura (RO),2490.1,1700
Santa Luzia D'Oeste (RO),2014.01,1500
Vilhena (RO),2842.63,2000
São Miguel do Guaporé (RO),2296.75,1500
Nova Mamoré (RO),2188.62,1500
Alvorada D'Oeste (RO),2420.67,1500
Alto Alegre dos Parecis (RO),2116.48,1300
Alto Paraíso (RO),2471.28,1600
Buritis (RO),2229.64,1500
Novo Horizonte do Oeste (RO),2193.14,1500
Cacaulândia (RO),2322.91,1600
Campo Novo de Rondônia (RO),2109.55,1500
Candeias do Jamari (RO),1819.7,1400
Castanheiras (RO),1940.64,1500
Chupinguaia (RO),2427.05,1900
Cujubim (RO),2242.95,1800
Governador Jorge Teixeira (RO),2230.38,1500
Itapuã do Oeste (RO),2035.49,1500
Ministro Andreazza (RO),2356.05,1500
Mirante da Serra (RO),2087.81,1250
Monte Negro (RO),2269.14,1500
Nova União (RO),1735.06,1212
Parecis (RO),2133.12,1600
Pimenteiras do Oeste (RO),1924.13,1500
Primavera de Rondônia (RO),1984.09,1620
São Felipe D'Oeste (RO),2366.88,1620
São Francisco do Guaporé (RO),2036.12,1500
Seringueiras (RO),2091.53,1400
Teixeirópolis (RO),2034.01,1220
Theobroma (RO),2226.11,1500
Urupá (RO),2120.53,1500
Vale do Anari (RO),2076.36,1500
Vale do Paraíso (RO),2162.32,1300
Acrelândia (AC),1665.62,1212
Assis Brasil (AC),1826.55,1212
Brasiléia (AC),1805.6,1212
Bujari (AC),1689.45,1212
Capixaba (AC),1561.6,1212
Cruzeiro do Sul (AC),1939.02,1212
Epitaciolândia (AC),1981.9,1212
Feijó (AC),1506.11,1200
Jordão (AC),1645.23,1212
Mâncio Lima (AC),1473.18,1100
Manoel Urbano (AC),1488.89,1200
Marechal Thaumaturgo (AC),1285.47,1000
Plácido de Castro (AC),1858.24,1212
Porto Walter (AC),1462.05,1200
Rio Branco (AC),2705.32,1500
Rodrigues Alves (AC),1447.53,1200
Santa Rosa do Purus (AC),1675.67,1300
Senador Guiomard (AC),1800.06,1212
Sena Madureira (AC),1973.55,1212
Tarauacá (AC),1829.68,1212
Xapuri (AC),1662.51,1212
Porto Acre (AC),1386.65,1200
Alvarães (AM),1206.06,1000
Amaturá (AM),1681.92,1212
Anamã (AM),1189.11,800
Anori (AM),1442.67,1000
Apuí (AM),2219,1500
Atalaia do Norte (AM),1974.4,1212
Autazes (AM),1418.47,1200
Barcelos (AM),1718.09,1212
Barreirinha (AM),1316.25,1200
Benjamin Constant (AM),1535.93,1000
Beruri (AM),1700.42,1000
Boa Vista do Ramos (AM),1149.18,1100
Boca do Acre (AM),1636.89,1212
Borba (AM),1391.86,1200
Caapiranga (AM),1339.72,1212
Canutama (AM),1353.6,1212
Carauari (AM),1317.24,1000
Careiro (AM),1578.3,1212
Careiro da Várzea (AM),1220.87,1000
Coari (AM),1489.01,1200
Codajás (AM),1336.82,1000
Eirunepé (AM),1376.43,1000
Envira (AM),1402.25,1000
Fonte Boa (AM),1409.88,1200
Guajará (AM),1240.14,1200
Humaitá (AM),2041.22,1212
Ipixuna (AM),1196.6,1000
Iranduba (AM),1591.33,1212
Itacoatiara (AM),1650.38,1212
Itamarati (AM),1554.8,1200
Itapiranga (AM),1489.61,1212
Japurá (AM),2033.35,1212
Juruá (AM),1430.73,1212
