Município,Total de municípios abastecidos,Convencional,Não-convencional,Simples desinfecção (cloração e outros),Fluoretação
Alta Floresta D'Oeste (RO),1,1,0,0,0
Ariquemes (RO),1,1,0,0,0
Cabixi (RO),1,1,0,0,0
Cacoal (RO),1,1,0,0,0
Cerejeiras (RO),1,1,0,0,0
Colorado do Oeste (RO),1,1,0,0,0
Corumbiara (RO),1,1,0,0,0
Costa Marques (RO),1,1,0,0,0
Espigão D'Oeste (RO),1,1,0,0,0
Guajará-Mirim (RO),1,1,0,0,0
Jaru (RO),1,1,0,0,0
Ji-Paraná (RO),1,1,0,0,0
Machadinho D'Oeste (RO),1,1,0,0,0
Nova Brasilândia D'Oeste (RO),1,1,0,0,0
Ouro Preto do Oeste (RO),1,1,0,0,0
Pimenta Bueno (RO),1,1,0,0,0
Porto Velho (RO),1,1,0,1,0
Presidente Médici (RO),1,1,0,0,0
Rio Crespo (RO),1,0,0,1,0
Rolim de Moura (RO),1,1,0,0,0
Santa Luzia D'Oeste (RO),1,1,0,0,0
Vilhena (RO),1,0,0,1,0
São Miguel do Guaporé (RO),1,1,0,0,0
Nova Mamoré (RO),1,1,0,0,0
Alvorada D'Oeste (RO),1,1,0,0,0
Alto Alegre dos Parecis (RO),1,1,0,0,0
Alto Paraíso (RO),1,0,0,1,0
Buritis (RO),1,1,0,0,0
Novo Horizonte do Oeste (RO),1,1,0,0,0
Cacaulândia (RO),1,1,0,0,0
Campo Novo de Rondônia (RO),1,0,1,0,0
Candeias do Jamari (RO),1,0,0,1,0
Castanheiras (RO),1,1,0,0,0
Chupinguaia (RO),1,0,0,0,0
Cujubim (RO),1,0,0,1,0
Governador Jorge Teixeira (RO),0,0,0,0,0
Itapuã do Oeste (RO),1,0,0,0,0
Ministro Andreazza (RO),1,1,0,0,0
Mirante da Serra (RO),1,1,0,0,0
Monte Negro (RO),1,1,0,0,0
Nova União (RO),1,1,0,0,0
Parecis (RO),1,1,0,0,0
Pimenteiras do Oeste (RO),1,0,0,1,0
Primavera de Rondônia (RO),1,1,0,0,0
São Felipe D'Oeste (RO),1,1,0,0,0
São Francisco do Guaporé (RO),1,0,0,0,0
Seringueiras (RO),1,1,0,0,0
Teixeirópolis (RO),1,1,0,0,0
Theobroma (RO),1,1,0,0,0
Urupá (RO),1,1,0,0,0
Vale do Anari (RO),1,1,0,0,0
Vale do Paraíso (RO),1,0,0,1,0
Acrelândia (AC),1,1,0,0,0
Assis Brasil (AC),1,1,0,0,0
Brasiléia (AC),1,1,0,0,0
Bujari (AC),1,1,0,0,0
Capixaba (AC),1,1,0,0,0
Cruzeiro do Sul (AC),1,1,0,1,0
Epitaciolândia (AC),1,1,0,0,0
Feijó (AC),1,1,0,0,0
Jordão (AC),1,1,0,0,0
Mâncio Lima (AC),1,0,0,1,0
Manoel Urbano (AC),1,1,0,0,0
Marechal Thaumaturgo (AC),1,1,0,0,0
Plácido de Castro (AC),1,1,0,0,0
Porto Walter (AC),1,0,0,1,0
Rio Branco (AC),1,1,0,0,0
Rodrigues Alves (AC),1,0,0,1,0
Santa Rosa do Purus (AC),1,1,0,0,0
Senador Guiomard (AC),1,1,0,0,0
Sena Madureira (AC),1,1,0,0,0
Tarauacá (AC),1,1,0,1,0
Xapuri (AC),1,1,0,0,0
Porto Acre (AC),1,1,0,1,0
Alvarães (AM),1,0,0,1,0
Amaturá (AM),1,0,0,0,0
Anamã (AM),1,0,0,0,0
Anori (AM),1,0,0,0,0
Apuí (AM),1,0,0,0,0
Atalaia do Norte (AM),1,1,0,0,0
Autazes (AM),1,1,0,0,0
Barcelos (AM),1,0,0,0,0
Barreirinha (AM),1,0,0,0,0
Benjamin Constant (AM),1,1,0,0,0
Beruri (AM),1,0,0,0,0
Boa Vista do Ramos (AM),1,0,0,0,1
Boca do Acre (AM),1,0,0,0,0
Borba (AM),1,0,0,0,0
Caapiranga (AM),1,0,0,0,0
Canutama (AM),1,0,1,0,0
Carauari (AM),1,0,0,1,0
Careiro (AM),1,0,0,1,0
Careiro da Várzea (AM),1,1,1,0,0
Coari (AM),1,1,0,0,0
Codajás (AM),1,0,0,1,0
Eirunepé (AM),1,1,0,1,0
Envira (AM),1,0,0,0,0
Fonte Boa (AM),1,0,0,0,0
Guajará (AM),1,0,0,0,0
Humaitá (AM),1,0,0,0,0
Ipixuna (AM),1,0,0,0,0
Iranduba (AM),1,0,0,0,0
Itacoatiara (AM),1,0,0,0,0
Itamarati (AM),1,0,0,1,0
Itapiranga (AM),1,0,0,0,0
Japurá (AM),1,0,0,0,0
Juruá (AM),1,0,0,1,0
Jutaí (AM),1,0,0,1,0
Lábrea (AM),1,0,0,0,0
Manacapuru (AM),1,0,1,0,0
Manaquiri (AM),1,0,0,1,0
Manaus (AM),1,1,0,1,1
Manicoré (AM),1,0,0,1,0
Maraã (AM),1,0,0,0,0
Maués (AM),1,0,0,1,0
Nhamundá (AM),1,0,0,0,0
Nova Olinda do Norte (AM),1,0,0,0,0
Novo Airão (AM),1,0,0,1,0
Novo Aripuanã (AM),1,0,0,0,0
Parintins (AM),1,0,0,1,0
Pauini (AM),1,0,0,0,0
Presidente Figueiredo (AM),1,0,0,1,0
Rio Preto da Eva (AM),1,0,0,0,0
Santa Isabel do Rio Negro (AM),1,0,0,0,0
Santo Antônio do Içá (AM),1,1,0,0,0
São Gabriel da Cachoeira (AM),1,0,0,0,0
São Paulo de Olivença (AM),1,1,0,0,0
São Sebastião do Uatumã (AM),1,0,0,1,0
Silves (AM),1,0,0,0,0
Tabatinga (AM),1,1,0,0,0
Tapauá (AM),1,0,0,0,0
Tefé (AM),1,0,0,0,0
Tonantins (AM),0,0,0,0,0
Uarini (AM),1,0,0,0,0
Urucará (AM),1,0,0,1,0
Urucurituba (AM),1,0,0,0,0
Amajari (RR),1,0,0,1,0
Alto Alegre (RR),1,1,0,0,0
Boa Vista (RR),1,1,0,1,0
Bonfim (RR),1,0,0,1,0
Cantá (RR),1,1,0,1,0
Caracaraí (RR),1,0,0,1,0
Caroebe (RR),1,1,0,1,0
Iracema (RR),1,0,0,1,0
Mucajaí (RR),1,1,0,1,0
Normandia (RR),1,1,0,1,0
Pacaraima (RR),1,1,0,1,0
Rorainópolis (RR),1,1,0,1,0
São João da Baliza (RR),1,1,0,1,0
São Luiz (RR),1,1,0,1,0
Uiramutã (RR),1,0,0,1,0
Abaetetuba (PA),1,1,0,1,0
Abel Figueiredo (PA),1,0,0,1,0
Acará (PA),1,0,0,0,0
Afuá (PA),1,0,0,1,0
Água Azul do Norte (PA),1,0,0,0,0
Alenquer (PA),1,0,0,1,0
