Município,Participação PIB
Alta Floresta D'Oeste (RO),"10,21"
Ariquemes (RO),"56,5"
Cabixi (RO),"11,63"
Cacoal (RO),"38,83"
Cerejeiras (RO),"36,26"
Colorado do Oeste (RO),"20,73"
Corumbiara (RO),"19,36"
Costa Marques (RO),"17,04"
Espigão D'Oeste (RO),"10,75"
Guajará-Mirim (RO),"56,71"
Jaru (RO),"19,53"
Ji-Paraná (RO),"46,81"
Machadinho D'Oeste (RO),"15,67"
Nova Brasilândia D'Oeste (RO),"25,65"
Ouro Preto do Oeste (RO),"10,91"
Pimenta Bueno (RO),"24,44"
Porto Velho (RO),"85,39"
Presidente Médici (RO),"6,2"
Rio Crespo (RO),"3,25"
Rolim de Moura (RO),"21,76"
Santa Luzia D'Oeste (RO),"2,97"
Vilhena (RO),"62,73"
São Miguel do Guaporé (RO),"42,31"
Nova Mamoré (RO),"3,16"
Alvorada D'Oeste (RO),"16,48"
Alto Alegre dos Parecis (RO),"6,73"
Alto Paraíso (RO),"8,98"
Buritis (RO),"4,11"
Novo Horizonte do Oeste (RO),"3,22"
Cacaulândia (RO),"4,85"
Campo Novo de Rondônia (RO),"1,57"
Candeias do Jamari (RO),"2,79"
Castanheiras (RO),"1,39"
Chupinguaia (RO),"6,98"
Cujubim (RO),"2,08"
Governador Jorge Teixeira (RO),"2,65"
Itapuã do Oeste (RO),"0,89"
Ministro Andreazza (RO),"4,14"
Mirante da Serra (RO),"2,91"
Monte Negro (RO),"6,86"
Nova União (RO),"1,74"
Parecis (RO),"2,31"
Pimenteiras do Oeste (RO),"12,01"
Primavera de Rondônia (RO),"1,59"
São Felipe D'Oeste (RO),"1,94"
São Francisco do Guaporé (RO),"26,25"
Seringueiras (RO),"15,56"
Teixeirópolis (RO),"1,34"
Theobroma (RO),"2,85"
Urupá (RO),"3,03"
Vale do Anari (RO),"3,88"
Vale do Paraíso (RO),"2,05"
Acrelândia (AC),"2,84"
Assis Brasil (AC),"6,98"
Brasiléia (AC),"35,73"
Bujari (AC),"2,15"
Capixaba (AC),"3,65"
Cruzeiro do Sul (AC),"68,6"
Epitaciolândia (AC),"33,59"
Feijó (AC),"40,71"
Jordão (AC),"8,18"
Mâncio Lima (AC),"8,97"
Manoel Urbano (AC),"17,75"
Marechal Thaumaturgo (AC),"8,56"
Plácido de Castro (AC),"4,29"
Porto Walter (AC),"5,35"
Rio Branco (AC),"78,14"
Rodrigues Alves (AC),"8,52"
Santa Rosa do Purus (AC),"10,42"
Senador Guiomard (AC),"5,56"
Sena Madureira (AC),"71,83"
Tarauacá (AC),"51,11"
Xapuri (AC),"23,71"
Porto Acre (AC),"3,36"
Alvarães (AM),"14,07"
Amaturá (AM),"4,41"
Anamã (AM),"2,96"
Anori (AM),"5,3"
Apuí (AM),"11,92"
Atalaia do Norte (AM),"6,86"
Autazes (AM),"0,47"
Barcelos (AM),"23,59"
Barreirinha (AM),"11,13"
Benjamin Constant (AM),"14,42"
Beruri (AM),"4,52"
Boa Vista do Ramos (AM),"5,89"
Boca do Acre (AM),"71,99"
Borba (AM),"16,09"
Caapiranga (AM),"3,79"
Canutama (AM),"15,14"
Carauari (AM),"20,35"
Careiro (AM),"0,37"
Careiro da Várzea (AM),"0,38"
Coari (AM),"72,09"
Codajás (AM),"11,35"
Eirunepé (AM),"31,18"
Envira (AM),"11,83"
Fonte Boa (AM),"8,26"
Guajará (AM),"9,73"
Humaitá (AM),"34,42"
Ipixuna (AM),"11,89"
Iranduba (AM),"0,93"
Itacoatiara (AM),"72,27"
Itamarati (AM),"7,44"
Itapiranga (AM),"4,69"
Japurá (AM),"32,75"
Juruá (AM),"7,58"
Jutaí (AM),"9,88"
Lábrea (AM),"61,33"
Manacapuru (AM),"1,44"
Manaquiri (AM),"0,29"
Manaus (AM),"96,12"
Manicoré (AM),"27,46"
Maraã (AM),"67,25"
Maués (AM),"19,22"
Nhamundá (AM),"6,68"
Nova Olinda do Norte (AM),"10,5"
Novo Airão (AM),"17,92"
Novo Aripuanã (AM),"10,1"
Parintins (AM),"46,04"
Pauini (AM),"28,01"
Presidente Figueiredo (AM),"71,71"
Rio Preto da Eva (AM),"28,29"
Santa Isabel do Rio Negro (AM),"17,85"
Santo Antônio do Içá (AM),"8,8"
São Gabriel da Cachoeira (AM),"40,64"
São Paulo de Olivença (AM),"12,39"
São Sebastião do Uatumã (AM),"4,41"
Silves (AM),"5,38"
Tabatinga (AM),"28,11"
Tapauá (AM),"23,54"
Tefé (AM),"71,1"
Tonantins (AM),"6,88"
Uarini (AM),"14,84"
Urucará (AM),"6,64"
Urucurituba (AM),"7,15"
Amajari (RR),"1,67"
Alto Alegre (RR),"2,67"
Boa Vista (RR),"93,39"
Bonfim (RR),"42,74"
Cantá (RR),"28,89"
Caracaraí (RR),"42,94"
Caroebe (RR),"16,04"
Iracema (RR),"19,75"
Mucajaí (RR),"37,31"
Normandia (RR),"16,6"
Pacaraima (RR),"2,28"
Rorainópolis (RR),"49,62"
São João da Baliza (RR),"22,21"
São Luiz (RR),"12,13"
Uiramutã (RR),"11,78"
Abaetetuba (PA),"32,65"
Abel Figueiredo (PA),"1,2"
Acará (PA),"25,9"
Afuá (PA),"20,91"
Água Azul do Norte (PA),"0,72"
Alenquer (PA),"7,94"
Almeirim (PA),"62,98"
Altamira (PA),"27,78"
Anajás (PA),"12,19"
Ananindeua (PA),"15,83"
Anapu (PA),"5,24"
Augusto Corrêa (PA),"6,68"
Aurora do Pará (PA),"5,86"
Aveiro (PA),"2,69"
Bagre (PA),"14,34"
Baião (PA),"9,42"
Bannach (PA),"2,67"
Barcarena (PA),"16,37"
Belém (PA),"59,28"
Belterra (PA),"2,53"
Benevides (PA),"3,52"
Bom Jesus do Tocantins (PA),"2,77"
Bonito (PA),"3,79"
Bragança (PA),"25,51"
Brasil Novo (PA),"3,38"
Brejo Grande do Araguaia (PA),"0,81"
