Município,Força de trabalho,Força de trabalho - desocupada
Alta Floresta D'Oeste (RO),"55,04","0,93"
Ariquemes (RO),"61,58","1,76"
Cabixi (RO),"53,91","0,88"
Cacoal (RO),"58,64","1,24"
Cerejeiras (RO),"57,28","0,82"
Colorado do Oeste (RO),"58,85","1,02"
Corumbiara (RO),"59,21","2,42"
Costa Marques (RO),"56,80","2,47"
Espigão D'Oeste (RO),"57,54","1,12"
Guajará-Mirim (RO),"49,41","2,80"
Jaru (RO),"53,25","1,24"
Ji-Paraná (RO),"60,30","2,23"
Machadinho D'Oeste (RO),"52,16","1,60"
Nova Brasilândia D'Oeste (RO),"40,09","2,26"
Ouro Preto do Oeste (RO),"53,72","1,02"
Pimenta Bueno (RO),"55,83","1,19"
Porto Velho (RO),"56,16","3,25"
Presidente Médici (RO),"46,35","0,89"
Rio Crespo (RO),"56,11","1,37"
Rolim de Moura (RO),"60,55","2,11"
Santa Luzia D'Oeste (RO),"43,39","0,71"
Vilhena (RO),"60,71","1,59"
São Miguel do Guaporé (RO),"56,65","1,01"
Nova Mamoré (RO),"59,08","1,46"
Alvorada D'Oeste (RO),"49,16","2,78"
Alto Alegre dos Parecis (RO),"57,50","2,73"
Alto Paraíso (RO),"47,18","1,18"
Buritis (RO),"58,86","1,76"
Novo Horizonte do Oeste (RO),"49,73","2,20"
Cacaulândia (RO),"43,79","1,19"
Campo Novo de Rondônia (RO),"48,46","1,21"
Candeias do Jamari (RO),"54,94","5,11"
Castanheiras (RO),"51,40","1,71"
Chupinguaia (RO),"60,97","0,69"
Cujubim (RO),"56,58","1,78"
Governador Jorge Teixeira (RO),"37,04","1,25"
Itapuã do Oeste (RO),"53,59","2,79"
Ministro Andreazza (RO),"44,71","1,01"
Mirante da Serra (RO),"43,06","1,22"
Monte Negro (RO),"51,55","1,37"
Nova União (RO),"44,86","1,17"
Parecis (RO),"46,05","1,25"
Pimenteiras do Oeste (RO),"43,74","0,79"
Primavera de Rondônia (RO),"34,20","0,77"
São Felipe D'Oeste (RO),"48,16","1,09"
São Francisco do Guaporé (RO),"60,91","1,43"
Seringueiras (RO),"43,92","0,86"
Teixeirópolis (RO),"48,07","0,40"
Theobroma (RO),"42,14","0,50"
Urupá (RO),"50,94","2,39"
Vale do Anari (RO),"48,91","1,78"
Vale do Paraíso (RO),"45,28","0,95"
Acrelândia (AC),"53,86","3,13"
Assis Brasil (AC),"44,93","3,15"
Brasiléia (AC),"51,17","1,71"
Bujari (AC),"35,89","1,58"
Capixaba (AC),"44,23","0,65"
Cruzeiro do Sul (AC),"50,79","4,64"
Epitaciolândia (AC),"53,66","1,85"
Feijó (AC),"40,58","1,51"
Jordão (AC),"39,94","0,53"
Mâncio Lima (AC),"43,11","1,17"
Manoel Urbano (AC),"45,05","8,00"
Marechal Thaumaturgo (AC),"42,06","1,20"
Plácido de Castro (AC),"52,04","3,52"
Porto Walter (AC),"43,50","1,92"
Rio Branco (AC),"55,99","3,30"
Rodrigues Alves (AC),"44,93","4,16"
Santa Rosa do Purus (AC),"32,53","0,30"
Senador Guiomard (AC),"50,40","2,84"
Sena Madureira (AC),"40,15","1,65"
Tarauacá (AC),"32,68","2,12"
Xapuri (AC),"53,08","3,22"
Porto Acre (AC),"43,12","2,32"
Alvarães (AM),"44,48","1,89"
Amaturá (AM),"37,00","2,31"
Anamã (AM),"51,18","3,65"
Anori (AM),"40,86","2,39"
Apuí (AM),"47,21","1,48"
Atalaia do Norte (AM),"35,40","2,75"
Autazes (AM),"41,71","1,49"
Barcelos (AM),"39,63","4,42"
Barreirinha (AM),"39,20","2,32"
Benjamin Constant (AM),"43,78","1,86"
Beruri (AM),"40,00","2,78"
Boa Vista do Ramos (AM),"50,76","3,32"
Boca do Acre (AM),"39,40","1,33"
Borba (AM),"38,49","1,81"
Caapiranga (AM),"42,50","10,26"
Canutama (AM),"34,81","0,77"
Carauari (AM),"46,11","1,86"
Careiro (AM),"44,35","4,35"
Careiro da Várzea (AM),"42,14","0,72"
Coari (AM),"45,43","5,56"
Codajás (AM),"44,81","3,73"
Eirunepé (AM),"44,48","2,62"
Envira (AM),"42,04","1,83"
Fonte Boa (AM),"48,12","3,13"
Guajará (AM),"44,78","1,10"
Humaitá (AM),"48,11","3,52"
Ipixuna (AM),"48,62","2,06"
Iranduba (AM),"55,25","5,58"
Itacoatiara (AM),"46,79","4,66"
Itamarati (AM),"39,23","2,14"
Itapiranga (AM),"44,33","2,92"
Japurá (AM),"57,00","2,38"
Juruá (AM),"35,55","1,20"
Jutaí (AM),"41,16","0,71"
Lábrea (AM),"39,87","3,69"
