Município,Municípios com serviço de esgotamento sanitário por rede coletora em funcionamento e com ETEs (Unidades),Número de ETEs (Unidades)
Alta Floresta D'Oeste (RO),0,0
Ariquemes (RO),1,2
Cabixi (RO),0,0
Cacoal (RO),1,1
Cerejeiras (RO),1,1
Colorado do Oeste (RO),0,0
Corumbiara (RO),0,0
Costa Marques (RO),0,0
Espigão D'Oeste (RO),0,0
Guajará-Mirim (RO),1,1
Jaru (RO),0,0
Ji-Paraná (RO),0,0
Machadinho D'Oeste (RO),0,0
Nova Brasilândia D'Oeste (RO),0,0
Ouro Preto do Oeste (RO),0,0
Pimenta Bueno (RO),0,0
Porto Velho (RO),1,1
Presidente Médici (RO),0,0
Rio Crespo (RO),0,0
Rolim de Moura (RO),0,0
Santa Luzia D'Oeste (RO),0,0
Vilhena (RO),0,0
São Miguel do Guaporé (RO),0,0
Nova Mamoré (RO),0,0
Alvorada D'Oeste (RO),1,1
Alto Alegre dos Parecis (RO),0,0
Alto Paraíso (RO),0,0
Buritis (RO),0,0
Novo Horizonte do Oeste (RO),0,0
Cacaulândia (RO),0,0
Campo Novo de Rondônia (RO),0,0
Candeias do Jamari (RO),0,0
Castanheiras (RO),0,0
Chupinguaia (RO),0,0
Cujubim (RO),0,0
Governador Jorge Teixeira (RO),0,0
Itapuã do Oeste (RO),0,0
Ministro Andreazza (RO),0,0
Mirante da Serra (RO),0,0
Monte Negro (RO),0,0
Nova União (RO),0,0
Parecis (RO),0,0
Pimenteiras do Oeste (RO),0,0
Primavera de Rondônia (RO),0,0
São Felipe D'Oeste (RO),0,0
São Francisco do Guaporé (RO),0,0
Seringueiras (RO),0,0
Teixeirópolis (RO),0,0
Theobroma (RO),0,0
Urupá (RO),0,0
Vale do Anari (RO),0,0
Vale do Paraíso (RO),0,0
Acrelândia (AC),0,0
Assis Brasil (AC),0,0
Brasiléia (AC),0,0
Bujari (AC),1,1
Capixaba (AC),0,0
Cruzeiro do Sul (AC),0,0
Epitaciolândia (AC),0,0
Feijó (AC),0,0
Jordão (AC),0,0
Mâncio Lima (AC),0,0
Manoel Urbano (AC),0,0
Marechal Thaumaturgo (AC),0,0
Plácido de Castro (AC),0,0
Porto Walter (AC),0,0
Rio Branco (AC),1,3
Rodrigues Alves (AC),0,0
Santa Rosa do Purus (AC),0,0
Senador Guiomard (AC),0,0
Sena Madureira (AC),0,0
Tarauacá (AC),0,0
Xapuri (AC),0,0
Porto Acre (AC),0,0
Alvarães (AM),0,0
Amaturá (AM),0,0
Anamã (AM),0,0
Anori (AM),0,0
Apuí (AM),0,0
Atalaia do Norte (AM),0,0
Autazes (AM),0,0
Barcelos (AM),0,0
Barreirinha (AM),0,0
Benjamin Constant (AM),0,0
Beruri (AM),0,0
Boa Vista do Ramos (AM),0,0
Boca do Acre (AM),0,0
Borba (AM),0,0
Caapiranga (AM),0,0
Canutama (AM),0,0
Carauari (AM),0,0
Careiro (AM),0,0
Careiro da Várzea (AM),0,0
Coari (AM),0,0
Codajás (AM),0,0
Eirunepé (AM),0,0
Envira (AM),0,0
Fonte Boa (AM),0,0
Guajará (AM),0,0
Humaitá (AM),0,0
Ipixuna (AM),0,0
Iranduba (AM),0,0
Itacoatiara (AM),0,0
Itamarati (AM),0,0
Itapiranga (AM),0,0
Japurá (AM),0,0
Juruá (AM),0,0
Jutaí (AM),0,0
Lábrea (AM),0,0
Manacapuru (AM),0,0
Manaquiri (AM),0,0
Manaus (AM),1,72
Manicoré (AM),0,0
Maraã (AM),0,0
Maués (AM),0,0
Nhamundá (AM),0,0
Nova Olinda do Norte (AM),0,0
Novo Airão (AM),0,0
Novo Aripuanã (AM),0,0
Parintins (AM),0,0
Pauini (AM),0,0
Presidente Figueiredo (AM),1,4
Rio Preto da Eva (AM),0,0
Santa Isabel do Rio Negro (AM),0,0
Santo Antônio do Içá (AM),0,0
São Gabriel da Cachoeira (AM),0,0
São Paulo de Olivença (AM),0,0
São Sebastião do Uatumã (AM),0,0
Silves (AM),0,0
Tabatinga (AM),0,0
Tapauá (AM),0,0
Tefé (AM),0,0
Tonantins (AM),0,0
Uarini (AM),0,0
Urucará (AM),0,0
Urucurituba (AM),0,0
Amajari (RR),0,0
Alto Alegre (RR),0,0
Boa Vista (RR),1,1
Bonfim (RR),0,0
Cantá (RR),0,0
Caracaraí (RR),1,1
Caroebe (RR),0,0
Iracema (RR),1,1
Mucajaí (RR),1,1
Normandia (RR),0,0
Pacaraima (RR),0,0
Rorainópolis (RR),0,0
São João da Baliza (RR),0,0
São Luiz (RR),0,0
Uiramutã (RR),0,0
Abaetetuba (PA),0,0
Abel Figueiredo (PA),0,0
Acará (PA),0,0
Afuá (PA),0,0
Água Azul do Norte (PA),0,0
Alenquer (PA),0,0
Almeirim (PA),1,3
Altamira (PA),0,0
Anajás (PA),0,0
Ananindeua (PA),0,0
Anapu (PA),0,0
Augusto Corrêa (PA),0,0
Aurora do Pará (PA),0,0
Aveiro (PA),0,0
Bagre (PA),0,0
Baião (PA),0,0
Bannach (PA),0,0
Barcarena (PA),0,0
Belém (PA),1,15
Belterra (PA),0,0
Benevides (PA),0,0
Bom Jesus do Tocantins (PA),0,0
Bonito (PA),0,0
Bragança (PA),0,0
Brasil Novo (PA),0,0
Brejo Grande do Araguaia (PA),0,0
Breu Branco (PA),1,1
Breves (PA),0,0
Bujaru (PA),0,0
Cachoeira do Piriá (PA),0,0
Cachoeira do Arari (PA),0,0
Cametá (PA),0,0
Canaã dos Carajás (PA),1,3
Capanema (PA),0,0
Capitão Poço (PA),0,0
Castanhal (PA),0,0
Chaves (PA),0,0
Colares (PA),0,0
Conceição do Araguaia (PA),0,0
Concórdia do Pará (PA),0,0
Cumaru do Norte (PA),0,0
Curionópolis (PA),0,0
Curralinho (PA),0,0
Curuá (PA),0,0
Curuçá (PA),0,0
Dom Eliseu (PA),0,0
Eldorado do Carajás (PA),0,0
Faro (PA),0,0
Floresta do Araguaia (PA),0,0
Garrafão do Norte (PA),0,0
Goianésia do Pará (PA),0,0
Gurupá (PA),0,0
Igarapé-Açu (PA),0,0
Igarapé-Miri (PA),0,0
Inhangapi (PA),0,0
Ipixuna do Pará (PA),0,0
Irituia (PA),0,0
Itaituba (PA),0,0
Itupiranga (PA),1,1
Jacareacanga (PA),0,0
Jacundá (PA),0,0
Juruti (PA),0,0
Limoeiro do Ajuru (PA),0,0
Mãe do Rio (PA),0,0
Magalhães Barata (PA),0,0
Marabá (PA),0,0
Maracanã (PA),0,0
Marapanim (PA),0,0
Marituba (PA),0,0
Medicilândia (PA),0,0
Melgaço (PA),0,0
Mocajuba (PA),0,0
Moju (PA),0,0
Mojuí dos Campos (PA),0,0
Monte Alegre (PA),0,0
Muaná (PA),0,0
Nova Esperança do Piriá (PA),0,0
Nova Ipixuna (PA),0,0
Nova Timboteua (PA),0,0
Novo Progresso (PA),0,0
Novo Repartimento (PA),0,0
Óbidos (PA),0,0
Oeiras do Pará (PA),0,0
Oriximiná (PA),1,1
Ourém (PA),0,0
Ourilândia do Norte (PA),0,0
Pacajá (PA),0,0
Palestina do Pará (PA),0,0
Paragominas (PA),1,4
Parauapebas (PA),1,5
Pau D'Arco (PA),0,0
Peixe-Boi (PA),0,0
Piçarra (PA),0,0
Placas (PA),0,0
Ponta de Pedras (PA),0,0
Portel (PA),0,0
Porto de Moz (PA),0,0
Prainha (PA),0,0
Primavera (PA),0,0
Quatipuru (PA),0,0
Redenção (PA),1,2
Rio Maria (PA),0,0
Rondon do Pará (PA),0,0
Rurópolis (PA),0,0
Salinópolis (PA),0,0
Salvaterra (PA),0,0
Santa Bárbara do Pará (PA),0,0
Santa Cruz do Arari (PA),0,0
Santa Izabel do Pará (PA),0,0
Santa Luzia do Pará (PA),0,0
Santa Maria das Barreiras (PA),0,0
Santa Maria do Pará (PA),0,0
Santana do Araguaia (PA),0,0
Santarém (PA),1,2
Santarém Novo (PA),0,0
Santo Antônio do Tauá (PA),0,0
São Caetano de Odivelas (PA),0,0
São Domingos do Araguaia (PA),0,0
São Domingos do Capim (PA),0,0
São Félix do Xingu (PA),0,0
São Francisco do Pará (PA),0,0
