Município,Alfab - Total,Alfab - 15 a 19 anos,Alfab – 20 a 24 anos,Alfab – 25 a 34 anos,Alfab – 35 a 44 anos,Alfab – 45 a 54 anos,Alfab – 55 a 64 anos,Alfab – 65 anos ou mais
Alta Floresta D'Oeste (RO),91.59,99.52,98.96,98.46,97.31,92.28,84.25,67.54
Ariquemes (RO),94.08,98.97,99,99.12,97.87,94.46,87.77,71.36
Cabixi (RO),89.82,97.6,97.99,98.09,95.9,94.62,84.87,67.28
Cacoal (RO),93.71,98.77,98.51,98.63,98.09,94.97,87.9,72.4
Cerejeiras (RO),92.15,98.6,98.19,98.58,98.03,93.43,86.27,68.7
Colorado do Oeste (RO),90.47,98.71,98.94,99.03,97.67,93.42,83.09,65.94
Corumbiara (RO),91.52,98.87,98.79,98.92,97.63,92.73,85.92,63.73
Costa Marques (RO),92.92,98.31,99.6,97.56,95.74,92.47,85.56,72.43
Espigão D'Oeste (RO),92.01,98.67,98.9,98.37,96.96,92.67,85.04,66.95
Guajará-Mirim (RO),94.16,98.79,98.89,98.37,97.66,93.54,88.57,75.31
Jaru (RO),92.39,98.62,98.65,98.67,97.68,94.11,85.26,66.62
Ji-Paraná (RO),94.37,98.61,98.99,98.97,97.92,95.66,89.62,73.84
Machadinho D'Oeste (RO),91.65,98.53,98.64,98.06,96.77,92.49,82.73,65.22
Nova Brasilândia D'Oeste (RO),91.36,98.68,98.64,98.83,98.03,93.54,83.11,65.26
Ouro Preto do Oeste (RO),92.81,99.03,99.31,98.85,97.6,94.34,87.44,72.22
Pimenta Bueno (RO),93.24,98.58,99.05,98.74,97.73,93.76,86.06,71.99
Porto Velho (RO),95.64,98.84,98.64,98.78,97.71,95.39,91.37,81.26
Presidente Médici (RO),92.38,98.52,98.84,98.56,97.14,94.86,89.38,73.13
Rio Crespo (RO),92.17,99.62,98.74,97.88,97.43,93.96,84.6,70.38
Rolim de Moura (RO),93.5,99.16,99.19,98.88,98.18,94.57,87.71,69.94
Santa Luzia D'Oeste (RO),90.45,99.01,99.05,98.27,97.65,93.69,85.28,65.52
Vilhena (RO),95.25,98.96,99.15,98.95,98.38,95.76,89.61,77.51
São Miguel do Guaporé (RO),92.68,98.61,98.75,98.84,97.75,93.94,85.82,65.74
Nova Mamoré (RO),90.69,98.35,98.33,97.53,95.58,89.56,79.6,60.32
Alvorada D'Oeste (RO),88.53,98.52,98.16,98.15,95.79,90.79,80.96,60.56
Alto Alegre dos Parecis (RO),90.79,99.21,98.93,98.18,96.63,92.46,80.69,65.04
Alto Paraíso (RO),91.73,98.92,98.76,97.94,95.88,93.6,83.83,68.05
Buritis (RO),92.46,98.94,98.91,98.45,97.3,93.17,84.01,65.71
Novo Horizonte do Oeste (RO),90.03,99.07,99.56,98.27,97.22,91.9,85.41,63.49
Cacaulândia (RO),88.08,98.65,98.47,96.55,94.74,86.78,80.76,62.5
Campo Novo de Rondônia (RO),90.46,98.77,97.59,98.73,96.2,90.4,81.42,62.28
Candeias do Jamari (RO),91.87,98.77,98.23,97.8,95.46,91.71,81.77,70.22
Castanheiras (RO),89.81,100,100,98.23,95.13,92.12,88.25,63.07
Chupinguaia (RO),92.64,99.07,98.04,98.48,97.29,93.05,79.92,64.39
Cujubim (RO),92.34,98.76,98.26,98.34,96.32,91.28,82.68,65.61
Governador Jorge Teixeira (RO),89.21,98.48,98.92,97.91,95.98,89.42,81.89,62.43
Itapuã do Oeste (RO),90.31,98.85,98.17,98.53,95.44,91.12,77.53,63.35
Ministro Andreazza (RO),88.99,98.41,98.24,98.37,97.56,92.17,82.36,59.95
Mirante da Serra (RO),89.07,98.3,98.77,98,95.48,90.53,81.57,62.95
Monte Negro (RO),89.15,98.6,99.03,98.32,95.42,90.87,80.21,60.62
Nova União (RO),89.7,98.76,98.79,98.32,96.38,91.89,81.61,61.29
Parecis (RO),89.53,98.44,100,96.79,96.98,90.48,77.28,60.35
Pimenteiras do Oeste (RO),93.15,99.4,96.12,98.37,98.47,91.55,87.39,76
Primavera de Rondônia (RO),87.46,97.88,96.49,97.39,96.35,92.58,78.7,58.63
São Felipe D'Oeste (RO),89.81,100,98.47,98.69,98.16,93.57,82.59,65.64
São Francisco do Guaporé (RO),91.86,98.4,98.6,98.95,97.39,92.13,81.27,62.37
Seringueiras (RO),92.73,98.35,99.17,98.69,97.73,92.62,86.82,68.51
Teixeirópolis (RO),89.96,99.68,98.98,97.67,96.82,92.81,85.42,64.94
Theobroma (RO),88.38,98.3,97.79,97.28,95.59,92.21,80.94,61.3
Urupá (RO),90.24,98.89,99.32,98.82,97.23,92.81,84.47,62.28
Vale do Anari (RO),88.35,98.77,95.78,97.87,96.57,90.88,80.48,57.21
Vale do Paraíso (RO),89.5,98.94,97.36,98.87,96.07,91.65,81.19,67.13
Acrelândia (AC),88.35,98.29,97.96,97.28,91.98,84.89,74.6,58.91
Assis Brasil (AC),85.3,96.88,94.72,93.94,90.7,78.79,69.14,44.42
