Territorialidades,% de cobertura vegetal natural 2017
Abadia de Goiás (GO),"25,51"
Abadia dos Dourados (MG),"31,37"
Abadiânia (GO),"37,46"
Abaeté (MG),"28,02"
Abaetetuba (PA),"62,79"
Abaiara (CE),"47,44"
Abaíra (BA),"76,01"
Abaré (BA),"45,73"
Abatiá (PR),"5,46"
Abdon Batista (SC),"39,23"
Abelardo Luz (SC),"28,11"
Abel Figueiredo (PA),"37,21"
Abre Campo (MG),"16,67"
Abreu E Lima (PE),"67,78"
Abreulândia (TO),"72,52"
Acaiaca (MG),"20,03"
Açailândia (MA),"36,69"
Acajutiba (BA),"8,69"
Acará (PA),"75,94"
Acarape (CE),"83,16"
Acaraú (CE),"40,6"
Acari (RN),"72,7"
Acauã (PI),"52,4"
Aceguá (RS),"58,09"
Acopiara (CE),"71,34"
Acorizal (MT),"72,61"
Acrelândia (AC),"30,86"
Acreúna (GO),"24,32"
Açucena (MG),"28,2"
Açu (RN),"50,65"
Adamantina (SP),"2,69"
Adelândia (GO),"13,74"
Adolfo (SP),"4,46"
Adrianópolis (PR),"71,47"
Adustina (BA),"23,36"
Afogados da Ingazeira (PE),"55,46"
Afonso Bezerra (RN),"55,31"
Afonso Cláudio (ES),"22,74"
Afonso Cunha (MA),"91,1"
Afrânio (PE),"54,79"
Afuá (PA),"66,27"
Agrestina (PE),"4,27"
Agricolândia (PI),"95,02"
Agrolândia (SC),"39,83"
Agronômica (SC),"32,37"
Água Azul do Norte (PA),"42,71"
Água Boa (MG),"21,51"
Água Boa (MT),"47,73"
Água Branca (AL),"23,45"
Água Branca (PB),"64,08"
Água Branca (PI),"89,93"
Água Clara (MS),"25,17"
Água Comprida (MG),"9,5"
Água Doce do Maranhão (MA),"88,9"
Água Doce do Norte (ES),"12,43"
Água Doce (SC),"36,92"
Água Fria (BA),"36,99"
Água Fria de Goiás (GO),"59,45"
Aguaí (SP),"17,18"
Água Limpa (GO),"11,55"
Aguanil (MG),"12,83"
Água Nova (RN),"65,01"
Água Preta (PE),"19,67"
Água Santa (RS),"15,15"
Águas Belas (PE),"24,45"
Águas da Prata (SP),"30,59"
Águas de Chapecó (SC),"20,26"
Águas de Lindóia (SP),17
Águas de Santa Bárbara (SP),"22,66"
Águas de São Pedro (SP),"35,86"
Águas Formosas (MG),"33,11"
Águas Frias (SC),"19,96"
Águas Lindas de Goiás (GO),"39,52"
Águas Mornas (SC),"79,53"
Águas Vermelhas (MG),"37,2"
Agudo (RS),"43,71"
Agudos do Sul (PR),"43,94"
Agudos (SP),"20,46"
Águia Branca (ES),"15,04"
Aguiarnópolis (TO),"70,39"
Aguiar (PB),"82,86"
Aimorés (MG),"6,43"
Aiquara (BA),"45,19"
Aiuaba (CE),"83,83"
Aiuruoca (MG),"19,74"
Ajuricaba (RS),"4,52"
Alagoa Grande (PB),"25,63"
Alagoa (MG),"35,89"
Alagoa Nova (PB),"25,59"
Alagoinha do Piauí (PI),"59,42"
Alagoinha (PB),"18,88"
Alagoinha (PE),"41,46"
Alagoinhas (BA),"35,87"
Alambari (SP),"12,21"
Albertina (MG),"18,4"
Alcântara (MA),"72,72"
Alcântaras (CE),"95,07"
Alcantil (PB),"67,18"
Alcinópolis (MS),"38,61"
Alcobaça (BA),"15,89"
Aldeias Altas (MA),"96,33"
Alecrim (RS),"24,3"
Alegre (ES),"16,74"
Alegrete do Piauí (PI),"57,64"
Alegrete (RS),"61,51"
Alegria (RS),"15,35"
Além Paraíba (MG),"24,68"
Alenquer (PA),"88,36"
Alexandria (RN),"42,97"
Alexânia (GO),"40,32"
Alfenas (MG),"4,84"
Alfredo Chaves (ES),"57,91"
Alfredo Marcondes (SP),"1,35"
Alfredo Vasconcelos (MG),"18,99"
Alfredo Wagner (SC),"48,86"
Algodão de Jandaíra (PB),"49,64"
Alhandra (PB),"13,86"
Aliança do Tocantins (TO),"57,12"
Aliança (PE),"2,68"
Almadina (BA),"51,9"
Almas (TO),"91,22"
Almeirim (PA),"96,14"
Almenara (MG),"36,65"
Almino Afonso (RN),"73,63"
Almirante Tamandaré do Sul (RS),"14,31"
Almirante Tamandaré (PR),"51,92"
Aloândia (GO),"17,58"
Alpercata (MG),"0,66"
Alpestre (RS),"24,38"
Alpinópolis (MG),"20,5"
Alta Floresta D'Oeste (RO),"65,44"
Alta Floresta (MT),"47,6"
Altair (SP),"14,89"
Altamira do Maranhão (MA),"31,45"
Altamira do Paraná (PR),"19,98"
Altamira (PA),"94,45"
Altaneira (CE),"67,95"
Alterosa (MG),"6,36"
Altinho (PE),"13,3"
Altinópolis (SP),"33,54"
Alto Alegre do Maranhão (MA),69
Alto Alegre do Pindaré (MA),"42,85"
Alto Alegre dos Parecis (RO),"64,87"
Alto Alegre (RR),"96,44"
Alto Alegre (RS),"9,2"
Alto Alegre (SP),"4,68"
Alto Araguaia (MT),"51,23"
Alto Bela Vista (SC),"36,76"
Alto Boa Vista (MT),"64,87"
Alto Caparaó (MG),"40,51"
Alto do Rodrigues (RN),"54,26"
Alto Feliz (RS),"76,27"
Alto Garças (MT),"44,19"
Alto Horizonte (GO),"33,07"
Alto Jequitibá (MG),"29,45"
Alto Longá (PI),"87,73"
Altônia (PR),"24,05"
Alto Paraguai (MT),"69,43"
Alto Paraíso de Goiás (GO),"84,37"
Alto Paraíso (PR),"27,55"
Alto Paraíso (RO),"33,03"
Alto Paraná (PR),"9,23"
Alto Parnaíba (MA),"91,41"
Alto Piquiri (PR),"6,21"
Alto Rio Doce (MG),"27,06"
Alto Rio Novo (ES),"15,85"
Alto Santo (CE),"40,88"
Altos (PI),"90,7"
Alto Taquari (MT),"24,37"
Alumínio (SP),"31,65"
Alvarães (AM),"96,24"
Alvarenga (MG),"12,48"
Álvares Florence (SP),"9,99"
Álvares Machado (SP),"2,35"
Álvaro de Carvalho (SP),"13,53"
Alvinlândia (SP),"21,8"
Alvinópolis (MG),"28,77"
Alvorada de Minas (MG),"46,71"
Alvorada D'Oeste (RO),"43,55"
Alvorada do Gurguéia (PI),"92,23"
Alvorada do Norte (GO),"46,07"
Alvorada do Sul (PR),"5,45"
Alvorada (RS),"41,96"
Alvorada (TO),"37,43"
Amajari (RR),"97,85"
Amambai (MS),"8,37"
Amapá (AP),"77,79"
Amapá do Maranhão (MA),"30,7"
Amaporã (PR),"5,71"
Amaraji (PE),"23,93"
Amaral Ferrador (RS),"68,02"
Amaralina (GO),"32,78"
Amarante do Maranhão (MA),"73,2"
Amarante (PI),"95,41"
Amargosa (BA),"25,85"
Amaturá (AM),"93,88"
Amélia Rodrigues (BA),"21,8"
América Dourada (BA),"16,24"
Americana (SP),"8,42"
Americano do Brasil (GO),"17,25"
Américo Brasiliense (SP),"11,98"
Américo de Campos (SP),"11,72"
Ametista do Sul (RS),"31,49"
Amontada (CE),"52,43"
Amorinópolis (GO),"22,63"
Amparo de São Francisco (SE),"0,64"
Amparo do Serra (MG),"16,66"
Amparo (PB),"67,5"
Amparo (SP),"17,92"
Ampére (PR),"19,53"
Anadia (AL),"3,11"
Anagé (BA),"46,21"
Anahy (PR),"10,98"
Anajás (PA),"97,44"
Anajatuba (MA),"64,58"
Analândia (SP),"30,99"
Anamã (AM),"89,59"
Ananás (TO),"49,59"
Ananindeua (PA),"54,12"
Anápolis (GO),"30,26"
Anapu (PA),"81,22"
Anapurus (MA),"76,19"
Anastácio (MS),"38,13"
Anaurilândia (MS),"13,59"
Anchieta (ES),"25,25"
Anchieta (SC),"30,65"
Andaraí (BA),"57,86"
Andirá (PR),"3,05"
Andorinha (BA),"55,55"
Andradas (MG),"13,99"
Andradina (SP),"3,81"
André da Rocha (RS),"47,11"
Andrelândia (MG),"12,38"
Angatuba (SP),"20,4"
Angelândia (MG),"45,72"
Angélica (MS),"7,61"
Angelim (PE),"4,05"
Angelina (SC),"69,88"
Angical (BA),"65,21"
Angical do Piauí (PI),"98,71"
Angicos (RN),"58,41"
Angico (TO),"79,04"
Angra dos Reis (RJ),"86,13"
Anguera (BA),"2,95"
Ângulo (PR),"3,95"
Anhanguera (GO),"22,03"
Anhembi (SP),"22,01"
Anhumas (SP),"7,14"
Anicuns (GO),"17,83"
Anísio de Abreu (PI),"71,32"
Anita Garibaldi (SC),"48,4"
Anitápolis (SC),"74,14"
Anori (AM),"86,53"
Anta Gorda (RS),"53,34"
Antas (BA),"21,17"
Antonina do Norte (CE),"79,17"
Antonina (PR),"90,5"
Antônio Almeida (PI),"91,2"
Antônio Cardoso (BA),"3,46"
Antônio Carlos (MG),"27,05"
Antônio Carlos (SC),73
Antônio Dias (MG),"33,88"
Antônio Gonçalves (BA),"72,12"
Antônio João (MS),"27,61"
Antônio Martins (RN),"51,37"
Antônio Olinto (PR),"41,62"
Antônio Prado de Minas (MG),"20,03"
Antônio Prado (RS),"59,39"
Aparecida de Goiânia (GO),"25,84"
Aparecida D'Oeste (SP),"3,67"
Aparecida do Rio Doce (GO),"21,08"
Aparecida do Rio Negro (TO),"70,25"
Aparecida do Taboado (MS),"12,43"
Aparecida (PB),"69,91"
Aparecida (SP),"24,04"
Aperibé (RJ),"0,5"
Apiacá (ES),"16,87"
Apiacás (MT),"88,95"
Apiaí (SP),"67,91"
Apicum-Açu (MA),"69,89"
Apiúna (SC),"76,96"
Apodi (RN),"51,92"
Aporá (BA),"10,58"
Aporé (GO),"23,9"
Apuarema (BA),"49,59"
Apucarana (PR),"16,32"
Apuí (AM),"96,08"
Apuiarés (CE),"90,67"
Aquidabã (SE),"0,63"
Aquidauana (MS),"78,36"
Aquiraz (CE),"43,02"
Arabutã (SC),"48,54"
Araçagi (PB),"7,49"
Araçaí (MG),"40,86"
Aracaju (SE),"14,31"
Araçariguama (SP),"44,45"
Araças (BA),52
Aracati (CE),"50,63"
Aracatu (BA),"34,58"
Araçatuba (SP),"2,79"
Araci (BA),"29,66"
Aracitaba (MG),"18,48"
Aracoiaba (CE),"81,81"
Araçoiaba da Serra (SP),"14,17"
Araçoiaba (PE),"27,06"
Aracruz (ES),"20,4"
Araçuaí (MG),"47,17"
Araçu (GO),"18,73"
Aragarças (GO),"48,75"
Aragoiânia (GO),"29,05"
Aragominas (TO),"41,07"
Araguacema (TO),"67,6"
Araguaçu (TO),"45,14"
Araguaiana (MT),"61,01"
Araguaína (TO),"50,34"
Araguainha (MT),"63,78"
Araguanã (MA),"31,27"
Araguanã (TO),"29,32"
Araguapaz (GO),"41,96"
Araguari (MG),"23,27"
Araguatins (TO),"59,62"
Araioses (MA),"80,48"
Aral Moreira (MS),"12,75"
Aramari (BA),"21,07"
Arambaré (RS),"19,07"
Arame (MA),"56,94"
Aramina (SP),"9,14"
Arandu (SP),"13,56"
Arantina (MG),"14,08"
Arapeí (SP),"40,52"
Arapiraca (AL),"7,25"
Arapoema (TO),"22,84"
Araponga (MG),"36,49"
Arapongas (PR),"11,47"
Araporã (MG),"5,35"
Arapoti (PR),"26,75"
Arapuá (MG),"27,2"
Arapuã (PR),"8,66"
Araputanga (MT),"41,58"
Araquari (SC),"53,96"
Araranguá (SC),"13,32"
Arara (PB),"21,27"
Araraquara (SP),"13,25"
Araras (SP),"9,02"
Ararendá (CE),"78,38"
Araricá (RS),"35,19"
Arari (MA),"65,15"
Araripe (CE),"69,43"
Araripina (PE),"38,15"
Araruama (RJ),"9,12"
Araruna (PB),"19,49"
Araruna (PR),"10,98"
Arataca (BA),"94,19"
Aratiba (RS),"32,1"
Aratuba (CE),"92,41"
Aratuípe (BA),"50,73"
Arauá (SE),"8,75"
Araucária (PR),"30,53"
Araújos (MG),"24,78"
Araxá (MG),"33,64"
Arceburgo (MG),"10,04"
Arco-Íris (SP),"5,67"
Arcos (MG),"21,92"
Arcoverde (PE),"56,34"
Areado (MG),"3,85"
Areal (RJ),"27,43"
Arealva (SP),"13,17"
Areia Branca (RN),"58,22"
Areia Branca (SE),"30,32"
Areia de Baraúnas (PB),"68,49"
Areial (PB),"4,07"
Areia (PB),"41,33"
Areias (SP),"31,8"
Areiópolis (SP),"3,34"
Arenápolis (MT),"43,24"
Arenópolis (GO),"35,99"
Arês (RN),"20,53"
Argirita (MG),"23,6"
Aricanduva (MG),"38,47"
Arinos (MG),"69,6"
Aripuanã (MT),"85,51"
Ariquemes (RO),"31,87"
Ariranha do Ivaí (PR),"10,97"
Ariranha (SP),"3,86"
Armação dos Búzios (RJ),"21,46"
Armazém (SC),"44,41"
Arneiroz (CE),"71,72"
Aroazes (PI),"92,89"
Aroeiras do Itaim (PI),"70,83"
Aroeiras (PB),"47,8"
Arraial do Cabo (RJ),"9,88"
Arraial (PI),"89,82"
Arraias (TO),"63,6"
Arroio do Meio (RS),"42,86"
Arroio do Padre (RS),"60,35"
Arroio do Sal (RS),"63,95"
Arroio dos Ratos (RS),"65,83"
Arroio do Tigre (RS),"31,73"
Arroio Grande (RS),"33,14"
Arroio Trinta (SC),"44,54"
Artur Nogueira (SP),"7,83"
Aruanã (GO),"41,63"
Arujá (SP),"34,67"
Arvoredo (SC),"40,9"
Arvorezinha (RS),"59,99"
Ascurra (SC),"72,59"
