Territorialidades,Concentração dos focos de calor 2017
Abadia de Goiás (GO),"0,01"
Abadia dos Dourados (MG),"0,05"
Abadiânia (GO),"0,07"
Abaeté (MG),"0,05"
Abaetetuba (PA),"0,28"
Abaiara (CE),"0,02"
Abaíra (BA),0
Abaré (BA),"0,01"
Abatiá (PR),"0,01"
Abdon Batista (SC),"0,03"
Abelardo Luz (SC),"0,05"
Abel Figueiredo (PA),"0,25"
Abre Campo (MG),"0,01"
Abreu E Lima (PE),0
Abreulândia (TO),"0,77"
Acaiaca (MG),"0,01"
Açailândia (MA),"1,46"
Acajutiba (BA),"0,01"
Acará (PA),"1,76"
Acarape (CE),"0,01"
Acaraú (CE),"0,1"
Acari (RN),0
Acauã (PI),"0,03"
Aceguá (RS),0
Acopiara (CE),"0,26"
Acorizal (MT),"0,09"
Acrelândia (AC),"0,37"
Acreúna (GO),"0,29"
Açucena (MG),"0,07"
Açu (RN),"0,01"
Adamantina (SP),"0,01"
Adelândia (GO),0
Adolfo (SP),"0,01"
Adrianópolis (PR),"0,11"
Adustina (BA),0
Afogados da Ingazeira (PE),"0,01"
Afonso Bezerra (RN),"0,01"
Afonso Cláudio (ES),"0,03"
Afonso Cunha (MA),"0,46"
Afrânio (PE),"0,04"
Afuá (PA),"0,04"
Agrestina (PE),0
Agricolândia (PI),"0,08"
Agrolândia (SC),"0,01"
Agronômica (SC),"0,01"
Água Azul do Norte (PA),"2,54"
Água Boa (MG),"0,1"
Água Boa (MT),"0,63"
Água Branca (AL),0
Água Branca (PB),"0,03"
Água Branca (PI),"0,06"
Água Clara (MS),"0,05"
Água Comprida (MG),"0,13"
Água Doce do Maranhão (MA),"0,14"
Água Doce do Norte (ES),0
Água Doce (SC),"0,11"
Água Fria (BA),0
Água Fria de Goiás (GO),"0,4"
Aguaí (SP),"0,09"
Água Limpa (GO),"0,01"
Aguanil (MG),"0,03"
Água Nova (RN),"0,01"
Água Preta (PE),"0,02"
Água Santa (RS),"0,01"
Águas Belas (PE),"0,01"
Águas da Prata (SP),"0,01"
Águas de Chapecó (SC),0
Águas de Lindóia (SP),0
Águas de Santa Bárbara (SP),"0,04"
Águas de São Pedro (SP),0
Águas Formosas (MG),"0,02"
Águas Frias (SC),0
Águas Lindas de Goiás (GO),"0,05"
Águas Mornas (SC),"0,01"
Águas Vermelhas (MG),"0,17"
Agudo (RS),"0,01"
Agudos do Sul (PR),"0,01"
Agudos (SP),"0,02"
Águia Branca (ES),0
Aguiarnópolis (TO),"0,1"
Aguiar (PB),"0,05"
Aimorés (MG),"0,02"
Aiquara (BA),0
Aiuaba (CE),"0,06"
Aiuruoca (MG),"0,03"
Ajuricaba (RS),0
Alagoa Grande (PB),0
Alagoa (MG),"0,02"
Alagoa Nova (PB),0
Alagoinha do Piauí (PI),"0,04"
Alagoinha (PB),0
Alagoinha (PE),0
Alagoinhas (BA),"0,01"
Alambari (SP),0
Albertina (MG),0
Alcântara (MA),"0,06"
Alcântaras (CE),"0,02"
Alcantil (PB),0
Alcinópolis (MS),"0,01"
Alcobaça (BA),"0,05"
Aldeias Altas (MA),"0,4"
Alecrim (RS),0
Alegre (ES),"0,01"
Alegrete do Piauí (PI),"0,01"
Alegrete (RS),"0,12"
Alegria (RS),0
Além Paraíba (MG),"0,03"
Alenquer (PA),"2,06"
Alexandria (RN),"0,01"
Alexânia (GO),"0,06"
Alfenas (MG),"0,06"
Alfredo Chaves (ES),0
Alfredo Marcondes (SP),
Alfredo Vasconcelos (MG),"0,01"
Alfredo Wagner (SC),"0,02"
Algodão de Jandaíra (PB),0
Alhandra (PB),"0,02"
Aliança do Tocantins (TO),"0,15"
Aliança (PE),"0,05"
Almadina (BA),"0,01"
Almas (TO),"1,1"
Almeirim (PA),"2,22"
Almenara (MG),"0,04"
Almino Afonso (RN),"0,01"
Almirante Tamandaré do Sul (RS),
Almirante Tamandaré (PR),"0,03"
Aloândia (GO),0
Alpercata (MG),"0,01"
Alpestre (RS),0
Alpinópolis (MG),"0,08"
Alta Floresta D'Oeste (RO),"0,52"
Alta Floresta (MT),"0,78"
Altair (SP),"0,04"
Altamira do Maranhão (MA),"0,17"
Altamira do Paraná (PR),"0,01"
Altamira (PA),"23,62"
Altaneira (CE),"0,01"
Alterosa (MG),0
Altinho (PE),"0,01"
Altinópolis (SP),"0,21"
Alto Alegre do Maranhão (MA),"0,22"
Alto Alegre do Pindaré (MA),"0,55"
Alto Alegre dos Parecis (RO),"0,24"
Alto Alegre (RR),"0,28"
Alto Alegre (RS),0
Alto Alegre (SP),0
Alto Araguaia (MT),"0,72"
Alto Bela Vista (SC),0
Alto Boa Vista (MT),"1,96"
Alto Caparaó (MG),
Alto do Rodrigues (RN),"0,02"
Alto Feliz (RS),0
Alto Garças (MT),"0,82"
Alto Horizonte (GO),"0,08"
Alto Jequitibá (MG),"0,01"
Alto Longá (PI),"0,04"
Altônia (PR),"0,25"
Alto Paraguai (MT),"0,21"
Alto Paraíso de Goiás (GO),"1,22"
Alto Paraíso (PR),"0,46"
Alto Paraíso (RO),"2,42"
Alto Paraná (PR),"0,03"
Alto Parnaíba (MA),"2,64"
Alto Piquiri (PR),0
Alto Rio Doce (MG),"0,03"
Alto Rio Novo (ES),0
Alto Santo (CE),"0,07"
Altos (PI),"0,15"
Alto Taquari (MT),"0,04"
Alumínio (SP),"0,01"
Alvarães (AM),"0,31"
Alvarenga (MG),"0,01"
Álvares Florence (SP),"0,02"
Álvares Machado (SP),0
Álvaro de Carvalho (SP),0
Alvinlândia (SP),0
Alvinópolis (MG),"0,03"
Alvorada de Minas (MG),"0,03"
Alvorada D'Oeste (RO),"0,1"
Alvorada do Gurguéia (PI),"0,24"
Alvorada do Norte (GO),"0,16"
Alvorada do Sul (PR),"0,02"
Alvorada (RS),0
Alvorada (TO),"0,06"
Amajari (RR),"0,4"
Amambai (MS),"0,06"
Amapá (AP),"0,36"
Amapá do Maranhão (MA),"0,19"
Amaporã (PR),"0,04"
Amaraji (PE),"0,01"
Amaral Ferrador (RS),"0,04"
Amaralina (GO),"0,13"
Amarante do Maranhão (MA),"5,51"
Amarante (PI),"0,31"
Amargosa (BA),"0,01"
Amaturá (AM),"0,05"
Amélia Rodrigues (BA),0
América Dourada (BA),"0,02"
Americana (SP),"0,02"
Americano do Brasil (GO),0
Américo Brasiliense (SP),"0,02"
Américo de Campos (SP),"0,05"
Ametista do Sul (RS),0
Amontada (CE),"0,13"
Amorinópolis (GO),"0,03"
Amparo de São Francisco (SE),0
Amparo do Serra (MG),"0,03"
Amparo (PB),0
Amparo (SP),"0,11"
Ampére (PR),0
Anadia (AL),0
Anagé (BA),"0,12"
Anahy (PR),0
Anajás (PA),"0,04"
Anajatuba (MA),"0,16"
