id,Município,Homicídios
1100015,Alta Floresta D'Oeste,5
1100023,Ariquemes,29
1100031,Cabixi,1
1100049,Cacoal,18
1100056,Cerejeiras,9
1100064,Colorado do Oeste,4
1100072,Corumbiara,1
1100080,Costa Marques,3
1100098,Espigão D'Oeste,11
1100106,Guajará-Mirim,8
1100114,Jaru,4
1100122,Ji-Paraná,46
1100130,Machadinho D'Oeste,9
1100148,Nova Brasilândia D'Oeste,7
1100155,Ouro Preto do Oeste,10
1100189,Pimenta Bueno,6
1100205,Porto Velho,189
1100254,Presidente Médici,3
1100262,Rio Crespo,1
1100288,Rolim de Moura,15
1100296,Santa Luzia D'Oeste,2
1100304,Vilhena,48
1100320,São Miguel do Guaporé,5
1100338,Nova Mamoré,4
1100346,Alvorada D'Oeste,1
1100379,Alto Alegre dos Parecis,2
1100403,Alto Paraíso,5
1100452,Buritis,16
1100502,Novo Horizonte do Oeste,1
1100601,Cacaulândia,0
1100700,Campo Novo de Rondônia,2
1100809,Candeias do Jamari,9
1100908,Castanheiras,3
1100924,Chupinguaia,6
1100940,Cujubim,9
1101005,Governador Jorge Teixeira,2
1101104,Itapuã do Oeste,1
1101203,Ministro Andreazza,0
1101302,Mirante da Serra,5
1101401,Monte Negro,3
1101435,Nova União,2
1101450,Parecis,1
1101468,Pimenteiras do Oeste,0
1101476,Primavera de Rondônia,0
1101484,São Felipe D'Oeste,0
1101492,São Francisco do Guaporé,3
1101500,Seringueiras,7
1101559,Teixeirópolis,1
1101609,Theobroma,1
1101708,Urupá,7
1101757,Vale do Anari,3
1101807,Vale do Paraíso,2
1200013,Acrelândia,1
1200054,Assis Brasil,4
1200104,Brasiléia,9
1200138,Bujari,2
1200179,Capixaba,0
1200203,Cruzeiro do Sul,17
1200252,Epitaciolândia,6
1200302,Feijó,6
1200328,Jordão,0
1200336,Mâncio Lima,3
1200344,Manoel Urbano,1
1200351,Marechal Thaumaturgo,2
1200385,Plácido de Castro,4
1200393,Porto Walter,1
1200401,Rio Branco,111
1200427,Rodrigues Alves,3
1200435,Santa Rosa do Purus,0
1200450,Senador Guiomard,9
1200500,Sena Madureira,5
1200609,Tarauacá,13
1200708,Xapuri,3
1200807,Porto Acre,4
1300029,Alvarães,3
1300060,Amaturá,1
1300086,Anamã,0
1300102,Anori,6
1300144,Apuí,5
1300201,Atalaia do Norte,1
1300300,Autazes,12
1300409,Barcelos,1
1300508,Barreirinha,6
1300607,Benjamin Constant,9
1300631,Beruri,6
1300680,Boa Vista do Ramos,3
1300706,Boca do Acre,11
1300805,Borba,5
1300839,Caapiranga,1
1300904,Canutama,1
1301001,Carauari,3
1301100,Careiro,8
1301159,Careiro da Várzea,1
1301209,Coari,36
1301308,Codajás,10
1301407,Eirunepé,12
1301506,Envira,13
1301605,Fonte Boa,7
1301654,Guajará,2
