ID,Município,Óbitos_p/Residência
110001,ALTA FLORESTA D'OESTE,111
110002,ARIQUEMES,661
110003,CABIXI,30
110004,CACOAL,486
110005,CEREJEIRAS,102
110006,COLORADO DO OESTE,99
110007,CORUMBIARA,35
110008,COSTA MARQUES,77
110009,ESPIGAO D'OESTE,163
110010,GUAJARA-MIRIM,254
110011,JARU,297
110012,JI-PARANA,843
110013,MACHADINHO D'OESTE,179
110014,NOVA BRASILANDIA D'OESTE,79
110015,OURO PRETO DO OESTE,239
110018,PIMENTA BUENO,198
110020,PORTO VELHO,2963
110025,PRESIDENTE MEDICI,119
110026,RIO CRESPO,22
110028,ROLIM DE MOURA,318
110029,SANTA LUZIA D'OESTE,37
110030,VILHENA,518
110032,SAO MIGUEL DO GUAPORE,102
110033,NOVA MAMORE,131
110034,ALVORADA D'OESTE,68
110037,ALTO ALEGRE DOS PARECIS,69
110040,ALTO PARAISO,86
110045,BURITIS,177
110050,NOVO HORIZONTE DO OESTE,47
110060,CACAULANDIA,26
110070,CAMPO NOVO DE RONDONIA,46
110080,CANDEIAS DO JAMARI,145
110090,CASTANHEIRAS,21
110092,CHUPINGUAIA,55
110094,CUJUBIM,77
110100,GOVERNADOR JORGE TEIXEIRA,36
110110,ITAPUA DO OESTE,35
110120,MINISTRO ANDREAZZA,34
110130,MIRANTE DA SERRA,43
110140,MONTE NEGRO,50
110143,NOVA UNIAO,31
110145,PARECIS,17
110146,PIMENTEIRAS DO OESTE,11
110147,PRIMAVERA DE RONDONIA,15
110148,SAO FELIPE D'OESTE,21
110149,SAO FRANCISCO DO GUAPORE,84
110150,SERINGUEIRAS,50
110155,TEIXEIROPOLIS,14
110160,THEOBROMA,55
110170,URUPA,60
110175,VALE DO ANARI,47
110180,VALE DO PARAISO,37
120001,ACRELANDIA,65
120005,ASSIS BRASIL,43
120010,BRASILEIA,102
120013,BUJARI,41
120017,CAPIXABA,34
120020,CRUZEIRO DO SUL,311
120025,EPITACIOLANDIA,80
120030,FEIJO,110
120032,JORDAO,4
120033,MANCIO LIMA,59
120034,MANOEL URBANO,46
120035,MARECHAL THAUMATURGO,35
120038,PLACIDO DE CASTRO,70
120039,PORTO WALTER,22
120040,RIO BRANCO,1873
120042,RODRIGUES ALVES,38
120043,SANTA ROSA DO PURUS,23
120045,SENADOR GUIOMARD,112
120050,SENA MADUREIRA,147
120060,TARAUACA,141
120070,XAPURI,64
120080,PORTO ACRE,74
130002,ALVARAES,42
130006,AMATURA,32
130008,ANAMA,23
130010,ANORI,41
130014,APUI,66
130020,ATALAIA DO NORTE,29
130030,AUTAZES,119
130040,BARCELOS,57
130050,BARREIRINHA,88
130060,BENJAMIN CONSTANT,110
130063,BERURI,51
130068,BOA VISTA DO RAMOS,46
130070,BOCA DO ACRE,106
130080,BORBA,103
130083,CAAPIRANGA,30
130090,CANUTAMA,25
130100,CARAUARI,72
130110,CAREIRO,144
130115,CAREIRO DA VARZEA,43
130120,COARI,294
130130,CODAJAS,67
130140,EIRUNEPE,106
130150,ENVIRA,46
130160,FONTE BOA,66
130165,GUAJARA,33
130170,HUMAITA,182
130180,IPIXUNA,33
130185,IRANDUBA,333
130190,ITACOATIARA,448
130195,ITAMARATI,18
130200,ITAPIRANGA,33
130210,JAPURA,20
130220,JURUA,29
130230,JUTAI,49
130240,LABREA,115
130250,MANACAPURU,443
130255,MANAQUIRI,57
130260,MANAUS,13052
130270,MANICORE,153
130280,MARAA,37
130290,MAUES,199
130300,NHAMUNDA,53
130310,NOVA OLINDA DO NORTE,81
130320,NOVO AIRAO,61
130330,NOVO ARIPUANA,59
130340,PARINTINS,448
130350,PAUINI,56
130353,PRESIDENTE FIGUEIREDO,142
130356,RIO PRETO DA EVA,111
130360,SANTA ISABEL DO RIO NEGRO,47
130370,SANTO ANTONIO DO ICA,54
130380,SAO GABRIEL DA CACHOEIRA,155
130390,SAO PAULO DE OLIVENCA,98
130395,SAO SEBASTIAO DO UATUMA,20
130400,SILVES,42
130406,TABATINGA,264
130410,TAPAUA,47
130420,TEFE,255
130423,TONANTINS,44
130426,UARINI,46
130430,URUCARA,55
130440,URUCURITUBA,51
140002,AMAJARI,61
140005,ALTO ALEGRE,103
140010,BOA VISTA,2118
140015,BONFIM,52
140017,CANTA,79
140020,CARACARAI,124
140023,CAROEBE,26
140028,IRACEMA,41
140030,MUCAJAI,75
140040,NORMANDIA,36
140045,PACARAIMA,63
140047,RORAINOPOLIS,125
140050,SAO JOAO DA BALIZA,28
140060,SAO LUIZ,33
140070,UIRAMUTA,52
150010,ABAETETUBA,530
150013,ABEL FIGUEIREDO,42
150020,ACARA,154
150030,AFUA,64
150034,AGUA AZUL DO NORTE,75
150040,ALENQUER,196
150050,ALMEIRIM,95
150060,ALTAMIRA,549
150070,ANAJAS,58
150080,ANANINDEUA,2309
150085,ANAPU,143
150090,AUGUSTO CORREA,127
150095,AURORA DO PARA,66
150100,AVEIRO,36
150110,BAGRE,36
150120,BAIAO,89
150125,BANNACH,15
150130,BARCARENA,430
150140,BELEM,7310
150145,BELTERRA,87
150150,BENEVIDES,285
150157,BOM JESUS DO TOCANTINS,51
150160,BONITO,36
150170,BRAGANCA,471
150172,BRASIL NOVO,62
150175,BREJO GRANDE DO ARAGUAIA,29
150178,BREU BRANCO,170
150180,BREVES,256
150190,BUJARU,77
150195,CACHOEIRA DO PIRIA,57
150200,CACHOEIRA DO ARARI,61
150210,CAMETA,343
150215,CANAA DOS CARAJAS,232
150220,CAPANEMA,332
150230,CAPITAO POCO,193
150240,CASTANHAL,947
150250,CHAVES,17
150260,COLARES,39
150270,CONCEICAO DO ARAGUAIA,266
150275,CONCORDIA DO PARA,77
150276,CUMARU DO NORTE,55
150277,CURIONOPOLIS,119
150280,CURRALINHO,63
150285,CURUA,52
150290,CURUCA,129
150293,DOM ELISEU,165
150295,ELDORADO DOS CARAJAS,148
150300,FARO,32
150304,FLORESTA DO ARAGUAIA,78
150307,GARRAFAO DO NORTE,91
150309,GOIANESIA DO PARA,106
150310,GURUPA,54
150320,IGARAPE-ACU,158
150330,IGARAPE-MIRI,210
150340,INHANGAPI,42
150345,IPIXUNA DO PARA,117
150350,IRITUIA,97
150360,ITAITUBA,643
150370,ITUPIRANGA,171
150375,JACAREACANGA,77
150380,JACUNDA,193
150390,JURUTI,157
150400,LIMOEIRO DO AJURU,74
150405,MAE DO RIO,154
150410,MAGALHAES BARATA,32
150420,MARABA,1055
150430,MARACANA,102
150440,MARAPANIM,104
150442,MARITUBA,524
150445,MEDICILANDIA,116
150450,MELGACO,36
150460,MOCAJUBA,102
150470,MOJU,216
150475,MOJUI DOS CAMPOS,80
150480,MONTE ALEGRE,255
150490,MUANA,70
150495,NOVA ESPERANCA DO PIRIA,65
150497,NOVA IPIXUNA,54
150500,NOVA TIMBOTEUA,39
150503,NOVO PROGRESSO,174
150506,NOVO REPARTIMENTO,226
150510,OBIDOS,183
150520,OEIRAS DO PARA,69
150530,ORIXIMINA,224
150540,OUREM,74
150543,OURILANDIA DO NORTE,139
150548,PACAJA,165
150549,PALESTINA DO PARA,25
150550,PARAGOMINAS,445
150553,PARAUAPEBAS,868
150555,PAU D'ARCO,40
150560,PEIXE-BOI,32
150563,PICARRA,38
150565,PLACAS,80
150570,PONTA DE PEDRAS,60
150580,PORTEL,158
150590,PORTO DE MOZ,81
150600,PRAINHA,97
150610,PRIMAVERA,47
150611,QUATIPURU,44
150613,REDENCAO,486
150616,RIO MARIA,89
150618,RONDON DO PARA,189
150619,RUROPOLIS,98
150620,SALINOPOLIS,188
150630,SALVATERRA,88
150635,SANTA BARBARA DO PARA,86
150640,SANTA CRUZ DO ARARI,26
150650,SANTA IZABEL DO PARA,286
150655,SANTA LUZIA DO PARA,58
150658,SANTA MARIA DAS BARREIRAS,82
150660,SANTA MARIA DO PARA,129
150670,SANTANA DO ARAGUAIA,149
150680,SANTAREM,1387
150690,SANTAREM NOVO,20
150700,SANTO ANTONIO DO TAUA,119
150710,SAO CAETANO DE ODIVELAS,62
150715,SAO DOMINGOS DO ARAGUAIA,119
150720,SAO DOMINGOS DO CAPIM,88
150730,SAO FELIX DO XINGU,246
150740,SAO FRANCISCO DO PARA,77
150745,SAO GERALDO DO ARAGUAIA,106
150746,SAO JOAO DA PONTA,20
150747,SAO JOAO DE PIRABAS,73
150750,SAO JOAO DO ARAGUAIA,48
150760,SAO MIGUEL DO GUAMA,194
150770,SAO SEBASTIAO DA BOA VISTA,57
150775,SAPUCAIA,27
150780,SENADOR JOSE PORFIRIO,44
150790,SOURE,103
150795,TAILANDIA,326
150796,TERRA ALTA,45
150797,TERRA SANTA,64
150800,TOME-ACU,208
150803,TRACUATEUA,97
150805,TRAIRAO,77
150808,TUCUMA,184
150810,TUCURUI,389
150812,ULIANOPOLIS,100
150815,URUARA,182
150820,VIGIA,207
150830,VISEU,145
150835,VITORIA DO XINGU,67
150840,XINGUARA,224
160005,SERRA DO NAVIO,10
160010,AMAPA,17
160015,PEDRA BRANCA DO AMAPARI,29
160020,CALCOENE,40
160021,CUTIAS,5
160023,FERREIRA GOMES,24
160025,ITAUBAL,10
160027,LARANJAL DO JARI,166
