ID,Município,Taxa de Acidentes de Trânsito
3133907,Itaverava,56.38
2104081,Fernando Falcão,18.94
5201454,Aparecida do Rio Doce,80.84
3117603,Conceição do Pará,17.99
3500808,Alfredo Marcondes,47.61
4210050,Macieira,0
4314175,Pedras Altas,0
3544608,Sabino,0
3517604,Guapiara,17.76
4322350,União da Serra,0
4113403,Leópolis,25.67
2907004,Cardeal da Silva,10.64
2701704,Capela,29.57
2933059,Várzea da Roça,28.3
2409308,Patu,23.33
4306072,Cristal do Sul,0
2504850,Coxixola,0
2104073,Feira Nova do Maranhão,35.27
3107208,Bocaina de Minas,58.96
2801009,Campo do Brito,60.03
2800100,Amparo de São Francisco,0
2201739,Betânia do Piauí,16.09
3117702,Conceição do Rio Verde,36.42
2516102,Soledade,39.45
4202057,Balneário Barra do Sul,53.23
3138708,Luminárias,0
4322376,Unistalda,0
2914703,Itaberaba,20.06
4116109,Moreira Sales,25.07
3500758,Alambari,0
4303103,Cachoeirinha,11.35
2201770,Boa Hora,73.01
2104057,Estreito,27.84
4314159,Paverama,23.42
1501808,Breves,4.79
2306553,Itarema,32.87
2931103,Tanquinho,25.2
2504900,Cruz do Espírito Santo,11.36
4210100,Mafra,22.88
3544707,Sagres,0
4115309,Mariópolis,30.05
2906907,Caravelas,31.58
2312502,São João do Jaguaribe,39.7
2304954,Guaiúba,15.09
4322400,Uruguaiana,13.41
3555901,Uru,87.57
3117801,Conceição dos Ouros,25.31
3510401,Capivari,26.33
4309159,Gramado Xavier,0
2104008,Esperantinópolis,5.89
5204102,Cachoeira Alta,23.36
4202008,Balneário Camboriú,12.06
3500709,Agudos,5.32
3526209,Juquitiba,6.28
3150109,Piau,36.78
3107109,Boa Esperança,32.25
2505006,Cubati,38.14
3554003,Tatuí,13.69
4322509,Vacaria,23.91
4301958,Barra Funda,39.02
2409209,Passagem,0
5108956,Nova Monte Verde,96
3153509,Alto Jequitibá,24.14
5213004,Maurilândia,13.73
5212055,Jesúpolis,40.05
2103901,Duque Bacelar,8.73
2922607,Nilo Peçanha,14.13
2201804,Bocaina,110.89
4101101,Andirá,35.31
4201950,Balneário Arroio do Silva,0
2926004,Remanso,19.36
3117876,Confins,14.56
3555406,Ubatuba,15.08
3500600,Águas de São Pedro,0
4314134,Paulo Bento,0
3544806,Sales,30.86
2906899,Caraíbas,11.55
3537107,Pedreira,14.29
4322525,Vale Verde,0
3524808,Jales,18.26
2210706,Simões,20.46
2505105,Cuité,0
2103802,Dom Pedro,42.75
2300150,Acarape,59.45
2409100,Passa e Fica,0
3135076,Jampruca,18.34
3164472,São Sebastião do Anta,14.93
3160603,Santo Hipólito,32.85
2505204,Cuitegi,44.46
3510500,Caraguatatuba,14.38
2919926,Madre de Deus,9.19
4201901,Aurora,35.17
2805505,Poço Verde,33.33
3171154,Vermelho Novo,0
4322533,Vale do Sol,8.42
3117900,Congonhal,32.76
2806800,São Domingos,17.74
3500550,Águas de Santa Bárbara,16.28
3136702,Juiz de Fora,10.56
2103752,Davinópolis,38.69
2201903,Bom Jesus,15.63
